Time_s,Error
4.65872395298777,1.38312868209828
4.66062154611463,1.3824662419589
4.66251984410678,1.38180574860272
4.66441877106812,1.38114712618397
4.66631825570659,1.38049030475755
4.66821823373026,1.37983521884324
4.67011864258421,1.37918180874468
4.67201942756867,1.3785300179614
4.67392053580654,1.37787979488837
4.67582191970853,1.37723109117505
4.67772353415237,1.37658386235083
4.67962533705165,1.37593806725318
4.68152729172195,1.37529366693642
4.68342936269602,1.37465062580412
4.68533151861301,1.37400891031625
4.68723372811122,1.37336849012853
4.68913596407269,1.37272933639825
4.69103820043426,1.37209142267818
4.6929404152424,1.37145472366984
4.69484258643121,1.37081921646128
4.69674469478022,1.37018487932281
4.69864672138275,1.36955169241282
4.70054865094035,1.36891963652312
4.70245046753726,1.36828869436253
4.70435215785466,1.36765884932407
4.70625370808194,1.36703008641195
4.7081551081327,1.36640239072834
4.7100563471685,1.36577574888043
4.71195741562232,1.36515014816839
4.71385830437528,1.36452557679074
4.71575900473071,1.36390202376287
4.71765951168057,1.36327947780023
4.71955981632035,1.36265792972634
4.72145991439035,1.36203736956625
4.72335980055572,1.36141778844195
4.7252594700289,1.36079917792128
4.72715891767788,1.36018153026998
4.72905814101104,1.35956483744949
4.73095713554658,1.35894909258929
4.73285589814536,1.35833428882277
4.73475442685611,1.35772041935007
4.73665271890602,1.3571074780414
4.73855077269146,1.35649545874731
4.74044858645586,1.35588435571649
4.74234615863988,1.35527416344169
4.74424348776579,1.35466487667635
4.74614057307512,1.35405649021247
4.74803741364774,1.35344899914669
4.7499340093461,1.35284239855399
4.75183035932602,1.35223668394895
4.7537264625269,1.3516318510941
4.75562232112837,1.35102789491881
4.75751793153615,1.35042481235965
4.75941329729435,1.34982259820475
4.7613084161826,1.34922124927433
4.76320328956894,1.34862076132715
4.7650979179406,1.34802113056503
4.76699230129736,1.34742235344334
4.76888644043586,1.34682442626748
4.77078033554253,1.34622734563956
4.7726739877727,1.34563110794602
4.77456739838086,1.34503570964217
4.77646056692853,1.34444114778262
4.77835349520481,1.34384741878653
4.78024618381713,1.34325451953566
4.78213863399939,1.34266244676871
4.78403084586361,1.34207119763364
4.78592282087287,1.34148076890586
4.78781455925269,1.340891157809
4.78970606271706,1.34030236114622
4.79159733359713,1.33971437560232
4.79348837174693,1.33912719866683
4.79537917860333,1.33854082735212
4.79726975534134,1.33795525880949
4.79916010331345,1.33737049017114
4.80105022298572,1.33678651887279
4.80294011673808,1.33620334179305
4.8048297853543,1.33562095635009
4.80671922860391,1.3350393602721
4.80860844905369,1.33445855045836
4.81049744757961,1.33387852438386
4.81238622637211,1.3332992791333
4.8142747848373,1.33272081266438
4.81616312503528,1.33214312212368
4.81805124923129,1.33156620465728
4.8199391581097,1.33099005790964
4.82182685337539,1.33041467921728
4.82248951230794,1.33020944245061
4.82315217124049,1.3299976531879
4.82337542629425,1.32992570308794
4.82359868134801,1.32985296582001
4.823810783425,1.32978384400626
4.82487129380996,1.3294430273955
4.82671535025755,1.32887323669068
4.82856736790533,1.32831816997695
4.83043325089676,1.32776344975191
4.83230210194543,1.32721060968846
4.83417255460927,1.32665954344956
4.83604418623653,1.32611018249132
4.83791684057745,1.3255624445059
4.8397904143083,1.3250162516783
4.84166482159723,1.32447153131814
4.84353998355669,1.32392821657939
4.84541582797436,1.32338624561713
4.84729228716919,1.32284556164129
4.84916929977649,1.32230611191271
4.85104680993115,1.32176784756705
4.8529247645971,1.32123072394699
4.85480311286794,1.32069470037633
4.85668181065968,1.32015973849692
4.85856081757758,1.31962580289184
4.86044009411721,1.31909286151655
4.86231960602168,1.31856088417169
4.86419932158226,1.31802984305652
4.86607921034093,1.31749971285166
4.86795924521557,1.31697046989318
4.86983940164531,1.31644209223699
4.87171965623816,1.31591455983125
4.87359998834899,1.31538785389144
4.87548037846667,1.31486195720358
4.8773608092841,1.31433685366396
4.87924126334796,1.31381252879608
4.88112172642669,1.31328896867854
4.88300218538056,1.31276616045706
4.88488262887784,1.31224409201715
4.88676304380103,1.31172275286354
4.88864342050375,1.3112021325593
4.89052375004335,1.31068222146625
