Time_s,Normal_Force_N
1.27389155575196,1797.91723248482
1.27391016525064,1797.92084864132
1.27392877497044,1797.92446489977
1.2739473847759,1797.92808123837
1.27396599489039,1797.93169768839
1.27398460506867,1797.93531421686
1.27400321552297,1797.93893085123
1.27402182621501,1797.94254759053
1.27404043694123,1797.94616440242
1.27405904784334,1797.94978130326
1.27407765886487,1797.95339828718
1.27409627008072,1797.95701536494
1.27411488151195,1797.96063254187
1.27413349319694,1797.96424982504
1.27415210517671,1797.96786722225
1.27417071718307,1797.97148469253
1.27418932922214,1797.97510222924
1.27420794152701,1797.97871986799
1.27422655397552,1797.9823375961
1.27424516670342,1797.98595543269
1.27426377956871,1797.98957335885
1.2742823924879,1797.99319135786
1.27430100595336,1797.99680950449
1.2743196192815,1798.00042770453
1.27433823283678,1798.00404599809
1.27435684657233,1798.00766438523
1.27437546050921,1798.0112828693
1.27439407469867,1798.01490145902
1.27441268894789,1798.01852012552
1.27443130341453,1798.02213888837
1.27444991808976,1798.02575774981
1.2744685330649,1798.02937672471
1.27448714805966,1798.0329957715
1.27450576334382,1798.03661492512
1.27452437861121,1798.04023414363
1.27454299409355,1798.0438534559
1.27456160982807,1798.04747287318
1.27458022576874,1798.0510923903
1.27459884186691,1798.05471199859
1.27461745822514,1798.05833171268
1.27463607465073,1798.06195150478
1.27465469113683,1798.06557136865
1.27467330782069,1798.06919132484
1.27469192477502,1798.07281138869
1.2747105419904,1798.07643156156
1.27472915934129,1798.08005182386
1.27474777690049,1798.08367218343
1.27476639458583,1798.08729262876
1.27478501243494,1798.09091316364
1.27480363052458,1798.09453380094
1.27482224874709,1798.09815452601
1.27484086699389,1798.10177531894
1.27485948559362,1798.10539622805
1.27487810429969,1798.1090172233
1.27489672325469,1798.11263832166
1.27491534244763,1798.11625952457
1.27493396180524,1798.11988082068
1.27495258117887,1798.12350218438
1.27497120091351,1798.12712366548
1.27498982071424,1798.13074522658
1.27500844066049,1798.13436687331
1.27502706087576,1798.13798862625
1.27504568120771,1798.14161046513
1.27506430164428,1798.14523238425
1.27508292247586,1798.14885442854
1.27510154346772,1798.15247656921
1.27512016459442,1798.15609879685
1.27513878587765,1798.15972111317
1.27515740721939,1798.16334350295
1.27517602868225,1798.16696597328
1.27519465038589,1798.17058854443
1.27521327235571,1798.17421122419
1.2752318946283,1798.17783401981
1.27525051698647,1798.18145689825
1.2752691395258,1798.1850798685
1.2752877621646,1798.18870291929
1.27530638514651,1798.19232608711
1.27532500821388,1798.19594933796
1.27534363134827,1798.19957266259
1.27536225465947,1798.20319607665
1.27538087831076,1798.20681960893
1.27539950217582,1798.21044324478
1.27541812606448,1798.21406695136
1.27543675011879,1798.21769074506
1.27545537444449,1798.22131464566
1.27547399895136,1798.22493864258
1.27549262361333,1798.2285627297
1.2755112485395,1798.23218692318
1.2755298735147,1798.23581119194
1.27554849872233,1798.23943555925
1.27556712423136,1798.24306004035
1.27558574969868,1798.24668458377
1.27560437534131,1798.25030921427
1.27562300134154,1798.25393396534
1.27564162738195,1798.25755879296
1.27566025368013,1798.26118372337
1.27567888016966,1798.26480875097
1.27569750679463,1798.26843386583
1.27571613356853,1798.27205906827
1.27573476037203,1798.27568433942
1.27575338752701,1798.27930972678
1.27577201478432,1798.28293519971
1.27579064224106,1798.2865607679
1.27580927000883,1798.29018645083
1.27582789786393,1798.29381221669
1.27584652581474,1798.2974380609
1.27586515401555,1798.30106400702
1.27588378236833,1798.30469004394
1.27590241098367,1798.3083161871
1.27592103987185,1798.31194244101
1.27593966878598,1798.31556876739
1.27595829790888,1798.31919518808
1.27597692704891,1798.32282167678
1.27599555649194,1798.32644827391
1.27601418611325,1798.33007496721
1.27603281601564,1798.3337017707
1.27605144602228,1798.33732865897
1.27607007616726,1798.3409556327
1.27608870659587,1798.34458271503
1.27610733713146,1798.34820988228
1.27612596787721,1798.3518371464
1.27614459860971,1798.35546447421
1.27616322983022,1798.35909193896
1.27618186105454,1798.36271947757
1.27620049255047,1798.36634712073
1.27621912417196,1798.36997485101
1.27623775599858,1798.37360267778
1.27625638793124,1798.37723058708
1.27627502011149,1798.38085859874
1.27629365240102,1798.38448669454
1.2763122847862,1798.38811486894
1.27633091753455,1798.39174316328
1.27634955037862,1798.3953715429
1.27636818351191,1798.399000032
1.27638681682522,1798.40262861778
1.27640545028896,1798.40625729318
1.27642408391482,1798.40988605873
1.27644271778515,1798.41351492758
1.27646135170098,1798.41714387066
1.27647998583161,1798.42077290937
1.27649862013222,1798.42440204061
1.27651725462228,1798.42803126688
1.27653588925271,1798.43166058088
1.27655452407261,1798.43528998902
1.27657315912885,1798.43891949993
1.27659179443796,1798.44254911784
1.27661042991258,1798.4461788297
1.27662906527024,1798.44980858829
1.27664770095412,1798.45343845508
1.27666633675562,1798.45706840844
1.27668497275719,1798.46069845743
1.27670360893209,1798.46432859949
1.27672224540348,1798.46795885368
1.27674088211498,1798.47158921459
1.27675951897679,1798.475219667
1.27677815595157,1798.47885020214
1.27679679306625,1798.48248082267
1.27681543036441,1798.48611153598
1.27683406779444,1798.48974233527
1.27685270539157,1798.49337322485
1.27687134313233,1798.49700420182
1.27688998117238,1798.50063529032
1.27690861936261,1798.50426647119
1.27692725782217,1798.50789775977
1.27694589633285,1798.51152912431
1.27696453515207,1798.51516059972
1.27698317416159,1798.51879217376
1.27700181337427,1798.52242384618
1.27702045262245,1798.52605559036
1.27703909205887,1798.52968742555
1.277057731673,1798.53331935369
1.27707637146812,1798.53695137564
1.27709501139222,1798.54058348333
1.27711365165227,1798.54421570806
1.27713229195358,1798.54784800895
1.27715093250182,1798.551480411
1.27716957324034,1798.55511290987
1.27718821408639,1798.55874549164
1.27720685528116,1798.56237819198
1.27722549648006,1798.56601096286
1.27724413785788,1798.56964382308
1.27726277938411,1798.57327677129
1.27728142112407,1798.57690981761
1.27730006305809,1798.5805429608
1.27731870522171,1798.58417620627
1.27733734752517,1798.58780954079
1.27735599008787,1798.59144298084
1.27737463266439,1798.59507649055
1.27739327548905,1798.59871010044
1.27741191853375,1798.6023438117
1.27743056170946,1798.60597761046
1.27744920510426,1798.6096115081
1.27746784867649,1798.61324550013
1.27748649245965,1798.61687959102
1.2775051364161,1798.62051377566
1.27752378047874,1798.62414804243
1.27754242466539,1798.62778239201
1.27756106911136,1798.63141684599
1.27757971381443,1798.63505140804
1.27759835863893,1798.63868605731
1.27761700364197,1798.64232079899
1.2776356489074,1798.64595564736
1.27765429426523,1798.6495905781
1.27767293973822,1798.65322559029
1.27769158541273,1798.65686069747
1.27771023135089,1798.66049591202
1.27772887750167,1798.66413122815
1.2777475237843,1798.66776663196
1.27776617027964,1798.6714021337
1.27778481684716,1798.67503771299
1.27780346349985,1798.67867336808
1.27782211033916,1798.68230911475
1.27784075746777,1798.68594497225
1.27785940469865,1798.68958091446
1.27787805218231,1798.69321696042
1.27789669992152,1798.69685311411
1.27791534772042,1798.7004893452
1.27793399569229,1798.704125666
1.27795264394198,1798.70776209547
1.27797129237522,1798.71139862216
1.27798994088343,1798.71503522672
1.27800858960647,1798.71867192774
1.27802723844309,1798.72230871262
1.27804588749326,1798.72594559487
1.27806453666656,1798.72958256267
1.27808318604921,1798.73321962749
1.27810183566738,1798.73685679564
1.2781204854827,1798.74049406218
1.2781391355087,1798.74413142837
1.27815778565388,1798.7477688799
1.27817643597119,1798.75140642252
1.27819508640381,1798.75504404828
1.27821373709798,1798.75868177892
1.27823238797256,1798.76231960561
1.27825103912312,1798.76595754187
1.27826969023528,1798.76959554032
1.27828834171577,1798.77323365671
1.27830699322764,1798.77687184792
1.27832564504726,1798.7805101498
1.27834429708195,1798.78414855433
