Slip_Ratio,Tractive_Force_N
0.290164580903083,1827.54103402653
0.298982203355299,1814.35474659043
0.308605693104615,1800.25507424437
0.317868629184428,1786.76441880534
0.32655596440343,1774.35875622116
0.335051976856184,1762.63339857436
0.343494801440818,1751.34834221669
0.35195579554909,1740.37864531155
0.360480415583091,1729.65335790721
0.36910081083918,1719.12855192191
0.377841464017294,1708.77527040396
0.386722097501167,1698.57361696269
0.395759326509466,1688.50954950473
0.404967653424782,1678.57300426688
0.414360139233998,1668.75669241317
0.423948802929667,1659.0553497657
0.433744934120116,1649.46519864797
0.443759310897558,1639.98357033596
0.454002345962494,1630.60864338105
0.464484222702082,1621.33923145605
0.475214986022186,1612.17463239226
0.48620460982063,1603.11451679224
0.497463050155306,1594.15884237764
0.509000331318468,1585.30775917637
0.520755164800188,1576.60533647909
