Time_s,Distance_m
0.413241748479059,0.666091945097303
0.413248769567745,0.666115951515553
0.413255790148286,0.666139956631421
0.413262810088895,0.666163959994189
0.413269829300036,0.666187961297577
0.413276848012096,0.666211961329249
0.413283866110094,0.666235959695936
0.413290883699626,0.666259956758614
0.413297900529724,0.666283951658972
0.413304916634608,0.666307944513886
0.413311932274198,0.666331936212088
0.413318947300594,0.666355926247702
0.413325961634369,0.666379914348982
0.413332975393743,0.666403900920106
0.413339988592973,0.666427886009726
0.413347001375812,0.666451870109385
0.413354013413582,0.66647585209488
0.413361024768567,0.666499832179098
0.413368035644553,0.666523811058914
0.413375045947764,0.666547788413493
0.413382055561347,0.66657176384305
0.413389064538695,0.666595737530081
0.413396073001698,0.666619709891398
0.413403080830088,0.666643680515514
0.41341008798062,0.666667649254393
0.413417094586599,0.666691616563902
0.413424100479074,0.666715581865999
0.413431105907098,0.66673954601252
0.413438110731308,0.666763508526631
0.413445115047186,0.666787469734861
0.413452118746256,0.666811429266017
0.413459121813068,0.666835387067133
0.413466124117916,0.666859342694344
0.413473125956361,0.66688329715869
0.413480127030544,0.66690724944102
0.413487127597865,0.666931200421852
0.413494127478214,0.66695514948486
0.413501126859034,0.666979097271244
0.413508125590666,0.66700304326885
0.413515123885559,0.667026988204473
0.413522121455848,0.667050931093058
0.413529118345446,0.667074872084733
0.413536114779494,0.667098811949747
0.41354311052626,0.667122749895067
0.413550105779393,0.667146686583216
0.413557100337073,0.667170621323485
0.413564094332502,0.667194554571557
0.413571087708651,0.667218486132178
0.413578080445022,0.667242415935086
0.413585072586764,0.667266344134669
0.413592064192281,0.667290270930687
0.413599055195183,0.667314196095841
0.413606045682921,0.6673381199293
0.413613035471921,0.667362041802708
0.413620024733541,0.667385962302403
0.413627013373871,0.667409881106877
0.413634001382757,0.66743379818126
0.413640988825981,0.667457713750589
0.413647975641733,0.667481627603196
0.413654961833971,0.667505539752517
0.413661947439807,0.667529450325459
0.413668932431939,0.667553359228469
0.413675916980732,0.667577267044584
0.413682900939605,0.667601173271973
0.413689884216822,0.667625077596502
0.413696866850056,0.667648980147008
0.413703848952417,0.667672881310573
0.413710830426075,0.6676967807522
0.413717811386877,0.667720678868353
0.413724791668007,0.667744575087861
0.413731771331564,0.667768469623191
0.41373875038517,0.667792362500325
0.413745728936689,0.667816254088435
0.413752706973145,0.667840144342999
0.413759684397295,0.667864032930989
0.413766661197908,0.667887919813843
0.413773637400413,0.667911805078511
0.413780612923097,0.6679356884451
0.413787587834285,0.667959570147428
0.413794562317761,0.667983450814668
0.413801536105543,0.668007329529146
0.413808509444267,0.668031207135252
0.413815481913315,0.668055082192613
0.413822454027066,0.668078956462448
0.413829425503861,0.668102828980197
0.41383639627652,0.668126699515686
0.413843366541874,0.668150568742834
0.413850336256529,0.668174436512935
0.413857305456804,0.668198302950273
0.413864274061441,0.668222167776466
0.413871242016727,0.668246030807459
0.413878209382247,0.66826989224719
0.413885176096647,0.668293751885429
0.41389214227872,0.668317610128907
0.413899107873942,0.668341466790784
0.413906072854494,0.668365321775672
0.413913037202199,0.668389175021202
0.413920000846546,0.668413026285742
0.413926964020453,0.668436876366955
0.413933926649996,0.668460725011548
0.413940888687764,0.668484572057025
0.413947850106434,0.668508417409678
0.413954810967693,0.668532261280702
0.413961771111324,0.668556103121169
0.413968730791772,0.668579943802569
0.41397568990999,0.668603782985516
0.413982648408988,0.668627620474674
0.413989606379573,0.668651456581016
0.413996563708034,0.66867529091489
