FinalDrive,Grip_Fact,Time_75m_s,Reached75m,ErrorMessage
10.4,0.6,4.25853806127342,1,
10.5,0.6,4.26698815629903,1,
10.6,0.6,4.27577447059387,1,
10.7,0.6,4.28422508107812,1,
10.8,0.6,4.29351683804105,1,
10.9,0.6,4.30299010083449,1,
11,0.6,4.31561627760515,1,
11.1,0.6,4.32489045744682,1,
11.2,0.6,4.33479384915913,1,
11.3,0.6,4.34459529293854,1,
11.4,0.6,4.35513760876037,1,
11.5,0.6,4.3680673996106,1,
11.6,0.6,4.3783131884936,1,
11.7,0.6,4.38886609324987,1,
11.8,0.6,4.39947163073343,1,
11.9,0.6,4.40970546137728,1,
12,0.6,4.42050318938188,1,
12.1,0.6,4.43473433807593,1,
12.2,0.6,4.44534995882958,1,
12.3,0.6,4.45641878900844,1,
12.4,0.6,4.46726662692833,1,
12.5,0.6,4.4785180412357,1,
2.5,0.7,5.10713101213714,1,
2.6,0.7,5.00730619417727,1,
2.7,0.7,4.91313654933866,1,
2.8,0.7,4.82417578095483,1,
2.9,0.7,4.7399278506827,1,
3,0.7,4.65994181067584,1,
3.1,0.7,4.58398636398469,1,
3.2,0.7,4.51156464410505,1,
3.3,0.7,4.44255450569572,1,
3.4,0.7,4.37664593507557,1,
3.5,0.7,4.31372457755149,1,
3.6,0.7,4.25397216400124,1,
3.7,0.7,4.19740626192003,1,
3.8,0.7,4.14403698227012,1,
3.9,0.7,4.09365580047746,1,
4,0.7,4.0462473850989,1,
4.1,0.7,4.0015633767437,1,
4.2,0.7,3.95945029495327,1,
4.3,0.7,3.91974801916554,1,
4.4,0.7,3.88233671333753,1,
4.5,0.7,3.84699353939517,1,
4.6,0.7,3.81363531573826,1,
4.7,0.7,3.7821158258305,1,
4.8,0.7,3.75227891609529,1,
4.9,0.7,3.72409702140665,1,
5,0.7,3.69738920663407,1,
5.1,0.7,3.67210280104861,1,
5.2,0.7,3.64825687121237,1,
5.3,0.7,3.62561293768855,1,
5.4,0.7,3.60418095769031,1,
5.5,0.7,3.58392596529476,1,
5.6,0.7,3.56481224961938,1,
5.7,0.7,3.84789904214601,1,
5.8,0.7,3.84533387775366,1,
5.9,0.7,3.84337130329904,1,
6,0.7,3.83972150031528,1,
6.1,0.7,3.83037435212191,1,
6.2,0.7,3.82745550931784,1,
6.3,0.7,3.82456807774224,1,
6.4,0.7,3.82257301857323,1,
6.5,0.7,3.82150239606149,1,
6.6,0.7,3.82066198001018,1,
6.7,0.7,3.82062411879362,1,
6.8,0.7,3.82041643680745,1,
6.9,0.7,3.8260588456382,1,
7,0.7,3.82702350117237,1,
7.1,0.7,3.828412564772,1,
7.2,0.7,3.82951181686968,1,
7.3,0.7,3.83101521077101,1,
7.4,0.7,3.83258824730378,1,
7.5,0.7,3.8339963439744,1,
7.6,0.7,3.83604037148596,1,
7.7,0.7,3.83843265219186,1,
7.8,0.7,3.84109702045855,1,
7.9,0.7,3.84362154386477,1,
8,0.7,3.85101480463099,1,
8.1,0.7,3.85467284737689,1,
8.2,0.7,3.85839300674472,1,
8.3,0.7,3.86224928867981,1,
8.4,0.7,3.86652893961203,1,
8.5,0.7,3.87069119732229,1,
8.6,0.7,3.87507311063213,1,
8.7,0.7,3.8798554084502,1,
8.8,0.7,3.88813493915489,1,
8.9,0.7,3.89478166054564,1,
9,0.7,3.90042438246634,1,
9.1,0.7,3.9061752022369,1,
9.2,0.7,3.91215051660092,1,
9.3,0.7,3.91846732366939,1,
9.4,0.7,3.92500281678413,1,
9.5,0.7,3.9317989935395,1,
9.6,0.7,3.93868754219849,1,
9.7,0.7,3.94609719353363,1,
9.8,0.7,3.95888269400833,1,
9.9,0.7,3.96648754879972,1,
10,0.7,3.97421386915621,1,
10.1,0.7,3.98191169408887,1,
10.2,0.7,3.98964875947117,1,
10.3,0.7,3.99771959278795,1,
10.4,0.7,4.00580613906463,1,
10.5,0.7,4.01399657951813,1,
10.6,0.7,4.02643357255326,1,
10.7,0.7,4.03180424482396,1,
10.8,0.7,4.04525801821304,1,
10.9,0.7,4.05443533982344,1,
11,0.7,4.064452383273,1,
11.1,0.7,4.07405186768005,1,
11.2,0.7,4.08441244824717,1,
11.3,0.7,4.09499970947412,1,
11.4,0.7,4.10537054955508,1,
11.5,0.7,4.11926997329271,1,
11.6,0.7,4.13022364882065,1,
11.7,0.7,4.14148645139461,1,
11.8,0.7,4.15261791913151,1,
11.9,0.7,4.16417809691221,1,
12,0.7,4.17575475372258,1,
12.1,0.7,4.1874003645842,1,
12.2,0.7,4.20254119373548,1,
12.3,0.7,4.21469668691936,1,
12.4,0.7,4.22653746692635,1,
12.5,0.7,4.23867951602598,1,
2.5,0.8,5.10683939215481,1,
2.6,0.8,5.00703309868199,1,
2.7,0.8,4.9128750724558,1,
2.8,0.8,4.82388202623273,1,
2.9,0.8,4.73958956083607,1,
3,0.8,4.65962262393368,1,
3.1,0.8,4.58364456582683,1,
3.2,0.8,4.51123152559337,1,
3.3,0.8,4.44220630362948,1,
3.4,0.8,4.37627740061427,1,
3.5,0.8,4.31333187303432,1,
3.6,0.8,4.25349211044226,1,
3.7,0.8,4.19685325444715,1,
3.8,0.8,4.14335091788607,1,
3.9,0.8,4.09288084287958,1,
4,0.8,4.04534049250434,1,
