Time_s,Error
0.0236819596218872,-0.128528541719221
0.023683501816889,-0.128527347526033
0.023685043900395,-0.128526152975422
0.0236865858698012,-0.128524958069558
0.0236881277264037,-0.128523762807589
0.0236896694697257,-0.128522567190035
0.0236912111024878,-0.128521371214937
0.023692752622384,-0.128520174884233
0.0236942940289008,-0.128518978198474
0.0236958353250956,-0.128517781155437
0.023697376510086,-0.128516583755954
0.0236989175828772,-0.128515386000949
0.023700458543358,-0.128514187890661
0.0237019993933275,-0.128512989423839
0.0237035401299617,-0.12851179060283
0.0237050807560697,-0.1285105914256
0.0237066212727015,-0.128509391891477
0.0237081616765817,-0.128508192003163
0.0237097019703725,-0.128506991758733
0.0237112421541047,-0.128505791158311
0.0237127822280668,-0.128504590201821
0.0237143221905616,-0.128503388890735
0.0237158620418447,-0.128502187225004
0.023717401785238,-0.128500985202183
0.0237189414181616,-0.128499782824432
0.0237204809401754,-0.128498580092245
0.0237220203536299,-0.128497377003935
0.0237235596568611,-0.128496173560947
0.023725098850654,-0.128494969762817
0.0237266379356473,-0.128493765609193
0.0237281769119558,-0.128492561100131
0.0237297157793959,-0.128491356235922
0.0237312545378879,-0.128490151016776
0.0237327931870517,-0.128488945443138
0.0237343317276715,-0.12848773951454
0.0237358701584677,-0.128486533232134
0.0237374084829252,-0.128485326593331
0.0237389466996293,-0.128484119599387
0.0237404848069841,-0.128482912251701
0.023742022806294,-0.128481704549397
0.0237435606981394,-0.128480496492164
0.0237450984820279,-0.128479288080534
0.0237466361590309,-0.128478079313811
0.0237481737288077,-0.128476870192408
0.0237497111912096,-0.128475660716588
0.023751248546926,-0.128474450885953
0.0237527857951775,-0.128473240701262
0.0237543229346924,-0.128472030163662
0.0237558599696344,-0.12847081927002
0.0237573968971138,-0.128469608022754
0.0237589337183038,-0.128468396421086
0.0237604704344156,-0.128467184464204
0.0237620070417151,-0.128465972155198
0.0237635435447793,-0.128464759490603
0.0237650799415802,-0.128463546472161
0.0237666162319449,-0.128462333100154
0.0237681524175281,-0.128461119373418
0.0237696884974685,-0.128459905292777
