Time_s,Acceleration_mps2
0.0515212637491288,5.57490933045458
0.0515237987215827,5.57530185542571
0.051526333911735,5.57569438317334
0.0515288693236117,5.57608691416084
0.0515314049557496,5.57647944827562
0.0515339408074332,5.57687198539952
0.0515364768776531,5.57726452537524
0.051539013168114,5.57765706839845
0.0515415496808624,5.57804961477335
0.0515440864122773,5.57844216407227
0.0515466233656949,5.57883471665691
0.051549160537747,5.57922727214427
0.0515516979274542,5.57961983033344
0.051554235541173,5.5800123920283
0.0515567733752614,5.58040495688922
0.0515593114288709,5.580797524739
0.0515618497032504,5.58119009570867
0.0515643881975053,5.58158266970154
0.0515669269115402,5.58197524668536
0.0515694658474802,5.58236782693347
0.0515720050000105,5.58276040979
0.0515745443764672,5.58315299610502
0.0515770839749487,5.58354558577828
0.0515796237919324,5.58393817832197
0.0515821638320677,5.58433077426038
0.0515847040892973,5.58472337288526
0.0515872445672036,5.5851159745405
0.0515897852675996,5.58550857952671
0.0515923261887685,5.58590118766842
0.0515948673325796,5.58629379917782
0.05159740869762,5.58668641390349
0.0515999502804926,5.58707903136645
0.0516024920855574,5.58747165205485
0.0516050341127696,5.58786427604938
0.0516075763578095,5.58825690279122
0.0516101188262029,5.58864953290747
0.0516126615149465,5.58904216611287
0.0516152044276162,5.58943480282504
0.0516177475589889,5.58982744242684
0.0516202909126307,5.59022008527514
0.0516228344883459,5.59061273140678
0.0516253782840578,5.59100538055154
0.0516279223006195,5.59139803277112
0.051630466539234,5.59179068823386
0.0516330110007709,5.5921833470825
0.0516355556828301,5.59257600902316
0.0516381005844627,5.59296867387508
0.0516406457110021,5.59336134230785
0.0516431910576972,5.59375401381303
0.0516457366251385,5.59414668837375
0.0516482824153965,5.59453936625844
0.0516508284280735,5.59493204746083
0.0516533746625455,5.59532473189458
0.051655921118424,5.59571741949026
0.0516584677950437,5.59611011014559
0.0516610146944648,5.59650280411199
0.0516635618157732,5.59689550131221
0.0516661091588808,5.5972882017181
0.051668656723218,5.59768090524729
0.0516712045102419,5.59807361207493
0.0516737525217239,5.5984663224637
0.0516763007539783,5.59885903597218
0.051678849208038,5.59925175265397
0.0516813978845303,5.59964447259976
0.0516839467821788,5.60003719565581
0.0516864959026142,5.60042992200712
0.0516890452461355,5.60082265172448
0.0516915948107471,5.60121538455518
0.0516941445981594,5.60160812067658
0.0516966946079365,5.60200086006135
0.0516992448387278,5.60239360252448
0.0517017952933714,5.60278634840422
0.0517043459694693,5.60317909744391
0.0517068968685786,5.60357184979956
0.051709447991103,5.60396460555037
0.0517119993353698,5.60435736448781
0.0517145509041216,5.60475012693258
0.051717102694453,5.60514289255796
0.051719654707849,5.60553566149762
0.0517222069432891,5.60592843363962
0.0517247594029968,5.60632120925404
0.0517273120867103,5.60671398835283
0.0517298649922361,5.60710677064654
0.051732418119804,5.60749955611079
0.05173497147159,5.60789234502582
0.0517375250448826,5.60828513708366
0.0517400788435573,5.60867793273587
0.0517426328648943,5.60907073170416
0.0517451871077153,5.60946353378044
0.0517477415757822,5.60985633941987
0.0517502962663699,5.61024914834448
0.0517528511808411,5.6106419606803
0.051755406318271,5.61103477632643
0.0517579616799544,5.61142759543239
0.0517605172657747,5.61182041800755
0.0517630730716382,5.61221324351324
0.0517656291020527,5.61260607244268
0.0517681853591024,5.61299890515752
0.0517707418377822,5.61339174106238
0.0517732985413547,5.61378458047498
0.0517758554673592,5.61417742312784
