Time_s,Target_Torque_ATW_Nm,From_Tractive_Force_ATW_Nm,Max_Available_ATW_Nm
0.0345431225224454,304.364957545412,80.6974800818556,560.84501239713
0.0345447301075256,304.379405856,80.7126782874062,560.84505406425
0.0345463377126003,304.39385435241,80.7278774997589,560.845095739217
0.0345479453404694,304.408303059809,80.7430777429573,560.845137422103
0.0345495529880201,304.42275195022,80.758278989852,560.845179112828
0.0345511606570902,304.437201040163,80.7734812555697,560.845220811442
0.0345527683484615,304.451650336664,80.7886845478122,560.845262517963
0.0345543760591998,304.466099813354,80.8038888402129,560.845304232318
0.0345559837909574,304.480549485083,80.8190941462637,560.84534595455
0.0345575915440138,304.494999354366,80.8343004690349,560.845387684666
0.0345591993190919,304.509449427698,80.8495078150783,560.845429422686
0.0345608071166759,304.523899709434,80.8647161889547,560.845471168623
0.0345624149348095,304.538350181991,80.8799255729952,560.845512922427
0.0345640227733192,304.552800843813,80.8951359645771,560.845554684094
0.0345656306322578,304.567251695373,80.9103473638979,560.845596453626
0.034567238512752,304.5817027468,80.9255597810369,560.845638231053
0.0345688464152551,304.596154002169,80.9407732204618,560.845680016388
0.0345704543383554,304.610605448793,80.9559876694367,560.845721809593
0.0345720622823752,304.625057089569,80.971203130083,560.84576361068
0.0345736702474632,304.639508925834,80.9864196037062,560.84580541965
0.0345752782364378,304.653960982922,81.0016371157792,560.84584723658
0.0345768862449213,304.668413221486,81.0168556277232,560.845889061355
0.0345784942755086,304.682865664851,81.0320751609599,560.845930894044
0.0345801023269294,304.697318301602,81.0472957049051,560.845972734615
0.0345817103978786,304.711771120007,81.0625172470261,560.846014583033
0.0345833184927834,304.72622415986,81.0777398267034,560.846056439415
0.0345849266086046,304.740677393845,81.0929634182046,560.846098303682
0.0345865347453928,304.755130822418,81.1081880205191,560.846140175837
0.0345881429039994,304.769584453233,81.1234136411678,560.846182055901
0.0345897510841833,304.784038284123,81.1386402781909,560.84622394387
0.0345913592849931,304.798492306539,81.1538679227007,560.846265839719
0.034592967507656,304.812946531511,81.1690965852271,560.846307743481
0.0345945757505373,304.827400944347,81.1843262513196,560.846349655114
0.0345961840146987,304.841855554594,81.1995569297285,560.846391574647
0.0345977923014229,304.856310373777,81.2147886323867,560.846433502112
0.0345994006090102,304.870765386623,81.2300213443167,560.846475437467
0.0346010089374514,304.885220593049,81.2452550645151,560.846517380712
0.0346026172871823,304.899675996974,81.260489796737,560.846559331859
0.0346042256561209,304.914131579687,81.2757255221253,560.846601290855
0.0346058340484809,304.928587379059,81.2909622778209,560.846643257809
0.0346074424630365,304.943043384075,81.306200054432,560.84668523269
0.034609050898829,304.957499586118,81.3214388426073,560.846727215475
0.0346106593585552,304.971956009429,81.3366786661947,560.846769206234
0.0346122678366377,304.98641260388,81.3519194756117,560.846811204823
0.0346138763354611,305.000869390903,81.3671612898314,560.846853211303
0.0346154848566653,305.015326385241,81.3824041245739,560.846895225719
0.034617093397724,305.029783564186,81.397647957545,560.846937248004
0.0346187019622399,305.044240960121,81.4128928201684,560.846979278255
0.0346203105491313,305.058698563325,81.4281387040664,560.847021316444
0.0346219191575024,305.073156365746,81.4433856005074,560.847063362546
0.0346235277852326,305.087614348327,81.4586334896318,560.847105416509
0.0346251364347979,305.102072533323,81.4738823927706,560.847147478396
0.0346267451071963,305.116530929704,81.4891323199283,560.847189548236
0.0346283538019253,305.130989532955,81.5043832668878,560.847231626015
0.0346299625156531,305.145448313132,81.5196352030081,560.847273711646
0.034631571252285,305.159907305335,81.5348881620531,560.847315805233
0.0346331800109815,305.17436650202,81.5501421379703,560.847357906755
0.0346347887911497,305.18882589786,81.5653971249022,560.847400016196
0.0346363975920981,305.20328548664,81.5806531161121,560.847442133538
0.034638006414376,305.217745273298,81.5959101160954,560.847484258798
0.0346396152595191,305.232205271638,81.6111681388858,560.847526392016
0.034641224123142,305.246665442246,81.6264271451958,560.847568533077
0.0346428330101226,305.261125828964,81.6416871771926,560.84761068211
0.0346444419200736,305.275586428312,81.6569482333633,560.847652839105
0.0346460508498235,305.290047211788,81.6722102846412,560.847695003981
0.0346476598030392,305.304508212347,81.6874733627095,560.847737176833
0.0346492687760755,305.318969397231,81.7027374359081,560.847779357567
0.0346508777712296,305.333430787086,81.7180025233414,560.847821546244
0.0346524867879736,305.347892377168,81.7332686210391,560.84786374285
0.0346540958253243,305.362354158643,81.7485357197064,560.847905947361
0.0346557048851002,305.376816147855,81.7638038352474,560.847948159824
0.0346573139677581,305.391278348911,81.7790729724724,560.847990380252
0.0346589230691073,305.405740724145,81.7943430933692,560.848032608537
0.0346605321925313,305.420203303972,81.8096142266067,560.848074844766
0.0346621413389847,305.43466609697,81.8248863821851,560.848117088967
0.0346637505057324,305.449129078557,81.8401595355864,560.848159341068
0.0346653596940817,305.463592260487,81.8554336972875,560.848201601103
0.034666968904492,305.478055646886,81.8707088718515,560.848243869086
0.034668578136246,305.492519231311,81.8859850528346,560.848286144998
0.0346701873906826,305.506983025795,81.9012622519247,560.848328428876
0.0346717966663804,305.521447017565,81.9165404566374,560.848370720682
0.0346734059639837,305.535911212412,81.9318196720357,560.848413020434
0.0346750152830001,305.550375605911,81.9470998937464,560.848455328119
0.0346766246222253,305.564840187241,81.9623811104411,560.848497643708
0.0346782339841697,305.579304978963,81.9776633442237,560.848539967265
0.0346798433677274,305.593769971142,81.9929465860174,560.848582298764
0.0346814527740096,305.608235173763,82.0082308453024,560.848624638233
0.0346830622004871,305.622700564097,82.0235160994025,560.848666985607
0.0346846716497109,305.637166165072,82.0388023702056,560.848709340953
0.0346862811201078,305.65163196255,82.0540896443734,560.848751704232
0.0346878906131424,305.666097969695,82.0693779343884,560.848794075481
0.0346895001261324,305.6805641624,82.0846672163317,560.848836454631
0.034691109661355,305.695030561133,82.0999575095447,560.848878841743
0.0346927192183109,305.709497161408,82.1152488103295,560.848921236804
0.0346943287977205,305.723963969701,82.1305411248943,560.848963639834
0.0346959383994679,305.73843098497,82.1458344523436,560.84900605083
0.0346975480230764,305.752898202933,82.1611287881354,560.84904846978
0.0346991576677025,305.767365616008,82.1764241242022,560.849090896663
0.0347007673328403,305.781833219651,82.1917204553774,560.849133331467
0.0347023770204602,305.796301031572,82.2070177991823,560.849175774242
0.0347039867299806,305.810769046543,82.2223161510729,560.849218224976
0.034705596461329,305.825237263916,82.237615509997,560.849260683667
0.0347072062150362,305.839705688461,82.2529158805775,560.849303150328
0.0347088159892399,305.854174303442,82.268217245943,560.849345624913
0.0347104257873916,305.868643139882,82.2835196364943,560.849388107512
0.0347120356063804,305.883112169819,82.2988230253169,560.849430598044
0.0347136454464792,305.897581395709,82.3141274133525,560.849473096517
0.034715255310362,305.912050841587,82.3294328248486,560.849515603002
0.0347168651944572,305.926520475352,82.344739228376,560.849558117406
0.0347184751003644,305.940990311381,82.3600466367251,560.849600639771
0.0347200850276798,305.955460346048,82.3753550467338,560.849643170087
0.0347216949772552,305.969930587008,82.3906644658422,560.849685708377
0.0347233049482816,305.984401026991,82.4059748869134,560.849728254622
0.0347249149418411,305.998871675725,82.4212863192802,560.849770808849
0.0347265249570032,306.013342524847,82.4365987547928,560.849813371035
0.0347281349936156,306.027813572989,82.4519121914894,560.849855941177
0.0347297450522101,306.042284824932,82.4672266339601,560.849898519289
0.034731355133763,306.056756289452,82.4825420911819,560.849941105397
0.0347329652368867,306.071227954078,82.4978585508203,560.849983699467
0.0347345753617568,306.08569982039,82.5131760136801,560.850026301502
0.0347361855090855,306.10017189479,82.52849448614,560.850068911523
0.0347377956760498,306.114644151905,82.5438139426577,560.850111529455
0.0347394058665019,306.12911662636,82.5591344168635,560.850154155401
0.0347410160786389,306.143589301952,82.5744558939166,560.850196789314
0.034742626313328,306.158062186477,82.5897783807931,560.850239431217
